===Database tsetmc

== Table structure for table tsetmc_stock_category

|------
|Column|Type|Null|Default
|------
|//**ID**//|int(11)|No|
|category_id|varchar(255)|No|
|category_title|varchar(255)|No|
|category_tsetmc_id|varchar(255)|No|
== Dumping data for table tsetmc_stock_category

|1|01|زراعت|34408080767216529
|2|10|ذغال سنگ|19219679288446732
|3|13|كانه فلزي|13235969998952202
|4|14|ساير معادن|62691002126902464
|5|17|منسوجات|59288237226302898
|6|19|محصولات چرمي|69306841376553334
|7|20|محصولات چوبي|58440550086834602
|8|21|محصولات كاغذ|30106839080444358
|9|22|انتشار و چاپ|25766336681098389
|10|23|فراورده نفتي|12331083953323969
|11|25|لاستيك|36469751685735891
|12|27|فلزات اساسي|32453344048876642
|13|28|محصولات فلزي|1123534346391630
|14|29|ماشين آلات|11451389074113298
|15|31|دستگاههاي برقي|33878047680249697
|16|32|وسايل ارتباطي|24733701189547084
|17|33|ابزار پزشكي|61848754958448778
|18|34|خودرو|20213770409093165
|19|35|حمل و نقل|58231368623465359
|20|36|بلمان|29331053506731535
|21|38|قند و شكر|21948907150049163
|22|39|چند رشته اي ص|40355846462826897
|23|40|تامين آب، برق، گاز|54843635503648458
|24|42|غذايي بجز قند|15508900928481581
|25|43|مواد دارويي|3615666621538524
|26|44|شيميايي|33626672012415176
|27|45|پيمانكاري|41934470778361119
|28|47|خرده فروشي به جز وسايل نقليه|65986638607018835
|29|49|کاشي و سراميك|57616105980228781
|30|53|سيمان|70077233737515808
|31|54|كاني غيرفلزي|14651627750314021
|32|56|سرمايه گذاريها|34295935482222451
|33|57|بانكها|72002976013856737
|34|58|سايرمالي|25163959460949732
|35|60|حمل و نقل|24187097921483699
|36|64|راديويي|41867092385281437
|37|65|مالي|61247168213690670
|38|67|اداره بازارهاي مالي|61985386521682984
|39|70|انبوه سازي|4654922806626448
|40|72|رايانه|8900726085939949
|41|73|اطلاعات و ارتباطات|18780171241610744
|42|74|فني مهندسي|47233872677452574
== Table structure for table tsetmc_stock_company

|------
|Column|Type|Null|Default
|------
|//**ID**//|int(11)|No|
|name|varchar(255)|No|
|tsetmc_code|varchar(255)|No|
|group_code|varchar(255)|No|
== Dumping data for table tsetmc_stock_company

|1|زپارس|33420285433308219|01
|2|زكوثر|42599305106713939|01
|3|زمگسا|5054819322815158|01
|4|سيمرغ|28450080638096732|01
|5|كطبس|8977369674477111|10
|6|تاصيكو|23293437377896568|13
|7|كاما|13235969998952202|13
|8|كبافق|43256212620530446|13
|9|كچاد|18027801615184692|13
|10|كدما|3623921205367364|13
|11|كروي|22787503301679573|13
|12|كگل|35700344742885862|13
|13|كمنگنز|50341528161302545|13
|14|كنور|20411759370751096|13
|15|ومعادن|58931793851445922|13
|16|كماسه|67690708346979840|14
|17|نبروج|60061422939859083|17
|18|نمرينو|30231789123900526|17
|19|وملي|41796741644273824|19
|20|چفيبر|64358061873294912|20
|21|چكاپا|28957320033282870|21
|22|چكارن|53113471126689455|21
|23|چكاوه|24254843881948059|21
|24|چافست|23936607891892333|22
|25|شبريز|48753732042176709|23
|26|شبندر|35366681030756042|23
|27|شبهرن|22667016906590506|23
|28|شپنا|7745894403636165|23
|29|شتران|51617145873056483|23
|30|شسپا|49188729526980541|23
|31|شنفت|14073782708315535|23
|32|ونفت|33931218652865616|23
|33|پاسا|63580313877463104|25
|34|پتاير|41935584690956944|25
|35|پدرخش|24079409192818584|25
|36|پسهند|10120557300120078|25
|37|پكرمان|23214828924506640|25
|38|پكوير|7235435095059069|25
|39|پلاسك|57722642338781674|25
|40|فاسمين|66701874099226162|27
|41|فايرا|65004959184388996|27
|42|فباهنر|66772024744156373|27
|43|فپنتا|68488673556087148|27
|44|فجر|41302553376174581|27
|45|فخاس|4733285133017464|27
|46|فخوز|28864540805361867|27
|47|فرآور|408934423224097|27
|48|فروس|54419429862704331|27
|49|فسازان|12874072841236826|27
|50|فسپا|8977441217024425|27
|51|فسرب|54277068923045214|27
|52|فلوله|48623320733330408|27
|53|فمراد|18004480270695404|27
|54|فملي|35425587644337450|27
|55|فنوال|57875847776839336|27
|56|فنورد|56324206651661881|27
|57|فولاد|46348559193224090|27
|58|فولاژ|40808043719554948|27
|59|كاوه|60350996279289099|27
|60|كوير|43545527030854340|27
|61|وتوكا|47232550823972469|27
|62|چدن|12329519546621752|28
|63|فاذر|38547060135156069|28
|64|فاراك|20865316761157979|28
|65|فاما|34673681828119297|28
|66|فجام|30765727085936322|28
|67|فلامي|25286509736208688|28
|68|تايرا|19298748452450329|29
|69|تپمپي|43062880954780884|29
|70|تكشا|62258804563636993|29
|71|تكمبا|30719054967088301|29
|72|تكنو|3654864906585643|29
|73|تمحركه|15826229869421585|29
|74|لابسا|63363116407864462|29
|75|لبوتان|30650426998863332|29
|76|لخزر|65414507129586385|29
|77|لسرما|55897939403232751|29
|78|وتوشه|54676885047867737|29
|79|بالبر|62952165421099192|31
|80|بترانس|46752599569017089|31
|81|بسويچ|47377315952751604|31
|82|بشهاب|69454539056549106|31
|83|بكاب|70219663893822560|31
|84|بكام|22382156782768756|31
|85|بموتو|22086876724551482|31
|86|بنيرو|20453828618330936|31
|87|لپارس|5187018329202415|32
|88|آكنتور|44834847569322522|33
|89|خاذين|42075223783409640|34
|90|خاهن|7483280423474368|34
|91|خبهمن|26824673819862694|34
|92|خپارس|42354736493447489|34
|93|خپويش|4758266259250794|34
|94|ختراك|22903901709044823|34
|95|ختور|50185721305191887|34
|96|ختوقا|70289374539527245|34
|97|خچرخش|33783140337377394|34
|98|خريخت|12752224677923341|34
|99|خرينگ|45895339414786358|34
|100|خزاميا|2589887561569709|34
|101|خزر|32821908911812078|34
|102|خساپا|44891482026867833|34
|103|خشرق|63915926161403347|34
|104|خفنر|28033133021443774|34
|105|خكار|59217041815333317|34
|106|خكمك|19257295292088310|34
|107|خگستر|48990026850202503|34
|108|خلنت|14957056743925737|34
|109|خمحركه|39436183727126211|34
|110|خمحور|7457232989848872|34
|111|خمهر|17330546482145553|34
|112|خموتور|57273529732791251|34
|113|خنصير|17834623106317041|34
|114|خودرو|65883838195688438|34
|115|خوساز|31879190587976736|34
|116|ورنا|7385624172574740|34
|117|قپيرا|67030488744129337|38
|118|قثابت|44967158778304588|38
|119|قزوين|15259343650667588|38
|120|قشكر|35964395659427029|38
|121|قشهد|37631109616997982|38
|122|قصفها|40411537531154482|38
|123|قلرست|56820995669577571|38
|124|قمرو|43342306308122676|38
|125|قنيشا|63380098535169030|38
|126|قهكمت|14398278072324784|38
|127|شستا|2400322364771558|39
|128|واميد|52232388263291380|39
|129|وبانك|48010225447410247|39
|130|وصندوق|37204371816016200|39
|131|وغدير|26014913469567886|39
|132|آبادا|37661500521100963|40
|133|بفجر|46178280540110577|40
|134|مبين|27922860956133067|40
|135|غاذر|35158826900216508|42
|136|غالبر|24303422207378456|42
|137|غبشهر|42387718866026650|42
|138|غبهنوش|17059960254855208|42
|139|غپاك|34032872653290886|42
|140|غپينو|18401147983387689|42
|141|غچين|44850033148208596|42
|142|غدام|2254054929817435|42
|143|غدشت|2434703913394836|42
|144|غزر|4369934250728330|42
|145|غسالم|28672095850798501|42
|146|غشاذر|59921975187856916|42
|147|غشان|31791737198597563|42
|148|غشصفا|61506294208022391|42
|149|غشهد|20487994977117557|42
|150|غگرجي|31024260997481994|42
|151|غگل|22299894048845903|42
|152|غمارگ|52975109254504632|42
|153|غمهرا|6131290133202745|42
|154|غنوش|48619517949257749|42
|155|وبشهر|13937270451301973|42
|156|بركت|34557241988629814|43
|157|تيپيكو|29758477602878557|43
|158|دابور|61332057061846617|43
|159|دارو|67988012428906654|43
|160|داسوه|12387472624849835|43
|161|دالبر|60451823714332895|43
|162|دامين|50100062518826135|43
|163|دپارس|70474983732269112|43
|164|دتماد|34641719089573667|43
|165|دجابر|33406621820337161|43
|166|ددام|66450490505950110|43
|167|درازك|22255783119783047|43
|168|دروز|40262275031537922|43
|169|دزهراوي|8915450910866216|43
|170|دسبحا|43622578471330344|43
|171|دسبحان|5866848234665627|43
|172|دسينا|11432067920374603|43
|173|دشيمي|33603212156438463|43
|174|دعبيد|49054891736433700|43
|175|دفارا|56550776668133562|43
|176|دفرا|18303237082155264|43
|177|دكوثر|23353689102956991|43
|178|دكيمي|20024911381434086|43
|179|دلر|4384288570322406|43
|180|دلقما|29247915161590165|43
|181|ديران|69090868458637360|43
|182|شفا|36899214178084525|43
|183|والبر|57944184894703821|43
|184|وپخش|7183333492448248|43
|185|پارس|6110133418282108|44
|186|پارسان|23441366113375722|44
|187|پاكشو|62786156501584862|44
|188|پترول|69143674941561637|44
|189|تاپيكو|22560050433388046|44
|190|جم|32357363984168442|44
|191|جم پيلن|27096851668435724|44
|192|خراسان|43552974795606067|44
|193|شاراك|7711282667602555|44
|194|شاملا|16959429956899455|44
|195|شپارس|61102694810476197|44
|196|شپاكسا|11622051128546106|44
|197|شپديس|20562694899904339|44
|198|شخارك|70934270174405743|44
|199|شدوص|40611478183231802|44
|200|شسينا|30974710508383145|44
|201|شفارس|43781018754867729|44
|202|شفن|65122215875355555|44
|203|شكربن|27308217070238237|44
|204|شكلر|62177651435283872|44
|205|شگل|44153164692325703|44
|206|شلعاب|39116664428676213|44
|207|شوينده|3493306453706327|44
|208|شيراز|38568786927478796|44
|209|شيران|35796086458096255|44
|210|فارس|25244329144808274|44
|211|قرن|39610074039667804|44
|212|كرماشا|38437201078089290|44
|213|نوري|19040514831923530|44
|214|وپترو|59486059679335017|44
|215|افق|49502666250908008|47
|216|كپارس|9698674686691945|49
|217|كترام|24085906177899789|49
|218|كحافظ|32257753560585502|49
|219|كساوه|25001509088465005|49
|220|كسعدي|29122854902865456|49
|221|كلوند|32678431934327184|49
|222|ساراب|4563413583000719|53
|223|ساربيل|34890845654517313|53
|224|ساروم|15949743338644220|53
|225|سبجنو|66295665969375744|53
|226|سبهان|32525655729432562|53
|227|سپاها|35669480110084448|53
|228|ستران|30829203706095076|53
|229|سخاش|4470657233334072|53
